Company,Role,Location,Application/Link,Date Posted
 NVIDIA , Verification Engineer – New College Grad 2024 - Memory Controller ," Santa Clara, CA ", 🔒 , Dec 30 
 CDC Foundation , Data Analyst , Florida , 🔒 , Dec 29 
IXL Learning, Software Engineer – New Grad ," San Mateo, CA "," <a href=""https://www.ixl.com/company/jobs?gh_jid=7076717002&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/d75bceb6-1f1e-41b5-b107-478386ce97d1?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 28 
IXL Learning, Software Developer – New Grad ," Toronto, ON, Canada "," <a href=""https://www.ixl.com/company/jobs?gh_jid=7076733002&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/e356b0d8-019c-4e34-9459-fe6bdc72bb99?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 28 
IXL Learning, Software Engineer – New Grad ," Raleigh, NC "," <a href=""https://www.ixl.com/company/jobs?gh_jid=7076723002&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/60b342f6-c0c4-4c72-b779-09f44133a982?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 28 
 Hello Fresh , Analyst – Planning ," <details><summary>**4 locations**</summary>Newnan, GA</br>Newark, NJ</br>Phoenix, AZ</br>Irving, TX</details> ", 🔒 , Dec 28 
 Jerry , Full Stack Software Engineer - Chatbot , SF , 🔒 , Dec 23 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," Austin, TX ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 Cadence Design Systems , Application Engineer – New College Grad ," San Jose, CA ", 🔒 , Dec 22 
 NVIDIA , GPU Compute Compiler Engineer – New College Grad 2024 ," Austin, TX</br>Redmond, WA</br>Santa Clara, CA ", 🔒 , Dec 21 
 Constellation Technologies , Software Engineer – Entry level ," Odenton, MD ", 🔒 , Dec 20 
 Zoox , Software Engineer: Secure Embedded Operating Systems ," San Mateo, CA ", 🔒 , Dec 20 
Cadence Design Systems, Application Engineer – New College Grad ," San Jose, CA "," <a href=""https://cadence.wd1.myworkdayjobs.com/en-US/External_Careers/job/SAN-JOSE/Application-Engineer---New-College-Grad_R44174-1?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/aa8ca880-8ca7-46cd-9cb6-8ffd06555b1d?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 18 
 Arista Networks , Software Engineer – Fresh graduates ," Vancouver, BC, Canada ", 🔒 , Dec 16 
 NVIDIA , Semiconductor Safety Engineer – New College Grad 2024 ," Austin, TX</br>Santa Clara, CA ", 🔒 , Dec 16 
 NVIDIA , DL Infrastructure Engineer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Dec 16 
Rackner, Software Engineer ," Arlington, VA "," <a href=""https://boards.greenhouse.io/rackner/jobs/4351048005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/b8e7840b-d463-46cf-b888-d455473ab9af?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 15 
 NVIDIA , Software Engineer – New College Grad 2024 - Deep Learning Inference Workflows ," Santa Clara, CA ", 🔒 , Dec 15 
Column, Techops Engineer – New Grad , SF ," <a href=""https://jobs.ashbyhq.com/column/6ae2fc02-bc21-4281-ae20-e816ebdf0d90/application?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/9bdcd991-4a37-4c93-bdd1-dd396d961714?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 15 
 Marshall Wace , New Grad Software Engineer ," New York, NY "," <a href=""https://www.mwam.com/news/graduate/technology-graduate-programme-nyc/?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Dec 14 
Canonical," Graduate Linux System Engineer - QA, Tooling, Automation ", Home based - Worldwide ," <a href=""https://canonical.com/careers/3964543?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Dec 14 
Relativity Space, GNC Engineer I ," Long Beach, CA "," <a href=""https://boards.greenhouse.io/relativity/jobs/7060330002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f92e40db-8e68-40e6-b0a6-4b879c2e0ce3?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 14 
Neuralink, Software Engineer New Grad ," Fremont, CA "," <a href=""https://boards.greenhouse.io/neuralink/jobs/5832835003?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/bd90b104-47bf-4bb3-8869-4da207d66e6d?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 13 
 NVIDIA , System Verification Infrastructure Engineer – New College Grad 2024 ," Santa Clara, CA</br>Durham, NC</br>Hillsboro, OR ", 🔒 , Dec 13 
NVIDIA, Verification Engineer – New College Grad 2024 - Memory Controller ," Toronto, ON, Canada "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/Canada-Toronto/Verification-Engineer--Memory-Controller---New-College-Grad-2024_JR1976784?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/f01473a9-5ff0-4fd8-bfeb-82a291c37049?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 13 
 Wayfair , Data Engineer ," Cambridge, MA ", 🔒 , Dec 13 
 Minitab , Software Engineer ," State College, PA ", 🔒 , Dec 13 
 Fluence , Rotational Engineer-Early Career ," Houston, TX ", 🔒 , Dec 12 
 Workato , Interaction Designer ," Mountain View, CA ", 🔒 , Dec 12 
 Workato , Interaction Designer ," Toronto, ON, Canada ", 🔒 , Dec 12 
 NVIDIA , ASIC Timing Engineer – New College Grad 2023 ," Santa Clara, CA ", 🔒 , Dec 12 
 Palantir , Product Designer – New Grad ," London, UK ", 🔒 , Dec 11 
 Alto Pharmacy , Early Career Software Engineer , Remote , 🔒 , Dec 10 
 Nutanix , Software Engineer 1 / Early Career ," San Jose, CA ", 🔒 , Dec 09 
 Flipp , Data Engineer Associate , Remote , 🔒 , Dec 09 
 Salesforce , Software Engineer AMTS/MTS – New Grad ," Seattle, WA</br>SF ", 🔒 , Dec 08 
 Fluence , Rotational Engineer-Early Career ," Houston, TX ", 🔒 , Dec 06 
 CDC Foundation , Data Analyst , Pennsylvania , 🔒 , Dec 06 
Palantir, Forward Deployed Operations Engineer – New Grad - UK Government ," London, UK "," <a href=""https://jobs.lever.co/palantir/228262da-877a-4040-b866-2a0388745012/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/728f54e6-291b-4d2e-9229-2869dbf16426?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 05 
NVIDIA, Compiler Engineer – New College Grad 2024 - LLVM ," Austin, TX</br>Redmond, WA</br>Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Compiler-Engineer--LLVM---New-College-Grad-2024_JR1976292?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/c62115f7-6407-45b5-8f98-609b61391a38?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 05 
 Ripple , Software Engineer I ," Toronto, ON, Canada ", 🔒 , Dec 02 
E-Space, GNC Software Engineer ," Saratoga, CA "," <a href=""https://jobs.lever.co/espace/0d7b029d-555b-497a-993b-700bf96cd74f/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/5205eacd-2c6b-4166-bdb3-58c6e4fe2c35?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 02 
 Visa , Software Engineer - New College Grad-2024 ," Atlanta, GA ", 🔒 , Dec 02 
 Visa , Software Engineer - New College Grad-2024 ," Austin, TX ", 🔒 , Dec 02 
 Hex Technologies , AI Engineer , Remote , 🔒 , Dec 02 
 Proprio , Software Engineer: Algorithms ," Seattle, WA ", 🔒 , Dec 01 
pony.ai, Software Engineer - Data and Evaluation ," Fremont, CA "," <a href=""https://apply.workable.com/pony-dot-ai/j/56A463E1D3/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/11dd71d6-6294-43e1-aa72-69ed7329f37c?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Dec 01 
 theScore , Data Scientist ," Toronto, ON, Canada ", 🔒 , Nov 30 
 Arsiem Corporation , Software Engineer 0 ," Annapolis Junction, MD ", 🔒 , Nov 30 
 Instacart , Software Engineer ," Toronto, ON, Canada ", 🔒 , Nov 30 
 Penn Interactive , Data Scientist ," Philadelphia, PA ", 🔒 , Nov 30 
 Cadence Design Systems , Software Engineer – New College Grad 2024 ," Northridge, LA ", 🔒 , Nov 30 
 Cadence Design Systems , Software Engineer – New College Grad 2024 ," San Jose, CA ", 🔒 , Nov 30 
 Weee! , Logistics Analyst ," Fremont, CA ", 🔒 , Nov 30 
 The Boeing Company , Early career Software Implementation Developer ," Montreal, QC, Canada ", 🔒 , Nov 30 
 Technergetics , Entry Level Software Developer , Remote , 🔒 , Nov 30 
 NVIDIA , System Software Engineer – New College Grad 2024 - GPU Server ," Santa Clara, CA ", 🔒 , Nov 30 
 Episode Six , Associate Devops Engineer ," Austin, TX ", 🔒 , Nov 30 
 Navan (fka TripActions) , New College Grad Software Engineer - Front-End ," Palo Alto, CA ", 🔒 , Nov 30 
 NVIDIA , Physical Design Methodology and Operations Engineer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Nov 30 
 GigaBrain , Software Engineer , LA , 🔒 , Nov 29 
 Rhombus Power , Data Engineer - Active TS or TS/SCI Clearance - Washington DC ," Washington, DC ", 🔒 , Nov 09 
 Rhombus Power , Data Engineer - Active TS or TS/SCI Clearance - Honolulu ," Honolulu, HI ", 🔒 , Nov 09 
 Visa , Associate Cybersecurity Analyst – New College Grad ," Austin, TX ", 🔒 , Nov 08 
 Visa , Software Test Engineer – New College Grad ," San Mateo, CA ", 🔒 , Nov 08 
 Salesforce , Software Engineering AMTS – New Grad ," <details><summary>**4 locations**</summary>Palo Alto, CA</br>Seattle, WA</br>SF</br>Kirkland, WA</details> ", 🔒 , Nov 07 
 Visa , Systems Engineer – New College Grad - 2024 ," Ashburn, VA ", 🔒 , Nov 07 
 Affirm , Software Engineer – Early Career ," Chicago, IL ", 🔒 , Nov 07 
 Affirm , Software Engineer – Early Career , SF , 🔒 , Nov 07 
 Affirm , Software Engineer – Early Career , NYC , 🔒 , Nov 07 
 Uber , 2024 Software Engineering Boost Fellowship - US , NYC , 🔒 , Nov 03 
 Constellation Technologies , Software Engineer 0 ," Odenton, MD ", 🔒 , Nov 03 
 Visa , Software Engineer - New College Grad-2024 ," Austin, TX ", 🔒 , Nov 03 
 Visa , Software Engineer - New College Grad-2024 ," Atlanta, GA ", 🔒 , Nov 03 
 Oscar Health , Data Scientist I - Risk Analytics , LA , 🔒 , Nov 03 
 Oscar Health , Data Scientist I - Risk Analytics , NYC , 🔒 , Nov 03 
 Oscar Health , Data Scientist I - Risk Analytics , Remote , 🔒 , Nov 03 
 Rocket Lab USA , GNC Engineer I ," Long Beach, CA ", 🔒 , Nov 02 
 Okta , Site Reliability Engineer ," London, UK ", 🔒 , Nov 02 
Movable Ink, Associate Software Developer - Integrations ," Toronto, ON, Canada "," <a href=""https://movableink.com/careers/5478132?gh_jid=5478132&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/60cbc5c2-00d9-4168-bd07-50228d8e1efe?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Nov 02 
 Arista Networks , Software Engineer ," Vancouver, BC, Canada ", 🔒 , Nov 02 
 Arista Networks , Software Engineer - Packet Forwarding Engines ," Vancouver, BC, Canada ", 🔒 , Nov 02 
 Arista Networks , Software Engineer - Network Systems ," Vancouver, BC, Canada ", 🔒 , Nov 02 
 Matroid , Full Stack Engineer for Computer Vision Products ," Palo Alto, CA ", 🔒 , Nov 02 
 ServiceNow , Machine Learning Engineer – New Grad ," Montreal, QC, Canada ", 🔒 , Nov 01 
Palantir, Software Engineer – New Grad ," Washington, DC "," <a href=""https://jobs.lever.co/palantir/19d5e5f8-37a6-4a6f-b2ca-423370b3a1c2/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/e94f5b72-1ca3-4376-8098-a07eacf2d7e1?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Oct 31 
 Wisk , Software Engineer ," Mesa, AZ ", 🔒 , Oct 30 
 Nutanix , Software Engineer 1 / Early Career ," San Jose, CA ", 🔒 , Oct 27 
 Visa , Site Reliability Engineer – New College Grad - 2024 ," Denver, CO ", 🔒 , Oct 27 
 Palantir , Software Engineer – New Grad ," Washington, DC ", 🔒 , Oct 26 
 Visa , Site Reliability Engineer – New College Grad - 2024 ," Austin, TX ", 🔒 , Oct 26 
 AnaVation LLC , Software Developer - Remote ," Chantilly, VA ", 🔒 , Oct 25 
 Palantir , Forward Deployed Software Engineer – New Grad - UK Government ," London, UK ", 🔒 , Oct 25 
 Cadence Design Systems , Software Engineer – New College Grad 2024 ," Austin, TX</br>San Jose, CA ", 🔒 , Oct 25 
 Jane Street , Teaching Assistants - Mathematics - Academy of Math and Programming - Amp , NYC , 🔒 , Oct 24 
 Jane Street , Teaching Assistants - Computer Science - Academy of Math and Programming - Amp , NYC , 🔒 , Oct 24 
 Palantir , Software Engineer – New Grad ," Seattle, WA ", 🔒 , Oct 23 
 Cadence Design Systems , Software Engineer – New College Grad 2024 ," San Jose, CA</br>Pittsburgh, PA ", 🔒 , Oct 23 
 Salesforce , Software Engineering AMTS – New Grad ," Seattle, WA</br>SF</br>Remote in USA ", 🔒 , Oct 23 
 Cover Genius , Client Solutions Engineer ," London, UK ", 🔒 , Oct 21 
 Alchemy , Software Engineer – New Grad , SF</br>NYC , 🔒 , Oct 20 
 The Athletic Media Company , Software Engineer - Full Stack - Australia , United States , 🔒 , Oct 18 
 Loop , Software Engineer – 2024 New Grad , SF , 🔒 , Oct 18 
 Loop , Software Engineer – 2024 New Grad ," Chicago, IL ", 🔒 , Oct 18 
 Salesforce , Software Engineering AMTS/MTS – New Grad ," <details><summary>**10 locations**</summary>Cambridge, MA</br>Seattle, WA</br>Indianapolis, IN</br>SF</br>Remote in USA</br>Chicago, IL</br>NYC</br>Bellevue, WA</br>Atlanta, GA</br>Burlington, MA</details> ", 🔒 , Oct 18 
 Jane Street , Operations Specialist , NYC , 🔒 , Oct 14 
 Immuta , Software Engineer - Application Support ," Hyattsville, MD ", 🔒 , Oct 13 
 Immuta , Software Engineer - Application Support ," Hyattsville, MD ", 🔒 , Oct 13 
Figma," Associate Product Manager, Early Career (2024) "," San Francisco, CA</br>New York, NY, "," <a href=""https://app.ripplematch.com/v2/public/job/d7342288/details?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Oct 12 
 Cummins , Software Engineer Entry Level Full Time Positions ," Columbus, Indiana "," <a href=""https://cummins.jobs/columbus-in/software-engineering-entry-level-full-time-positions/5DC8B81CE0244B7A903DFD6D251C7A74/job/?vs=7000&utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Oct 12 
Wayfair, Software Engineer I - Summer 2024 ," Boston, Massachusetts "," <a href=""https://www.wayfair.com/careers/job/software-engineer-i/6945942002?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/u1KNU8z.png"" width=""118"" alt=""Apply""></a> ", Oct 12 
 Palantir , Product Designer – New Grad ," Washington, DC ", 🔒 , Oct 11 
 Palantir , Product Designer – New Grad , NYC , 🔒 , Oct 11 
 Tenstorrent , Physical Design Engineer – New Grad - AI/CPU Silicon Design , United States , 🔒 , Oct 11 
 Zoom , AI Machine Learning Engineer – New Grad ," Oakland, CA ", 🔒 , Oct 11 
 Zoom , AI Machine Learning Engineer – New Grad ," Oakland, CA ", 🔒 , Oct 11 
 Zoom , AI Machine Learning Speech Engineer – New Grad ," Oakland, CA ", 🔒 , Oct 11 
 Zoom , AI Machine Learning Engineer – New Grad ," Oakland, CA ", 🔒 , Oct 11 
NVIDIA, Solutions Architect – New College Grad - Wwfo ," Santa Clara, CA "," <a href=""https://nvidia.wd5.myworkdayjobs.com/en-us/nvidiaexternalcareersite/job/US-CA-Santa-Clara/Solutions-Architect--WWFO---New-College-Grad_JR1970906-1?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/2b3b00e6-e994-4d77-8f05-4b856b44650f?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Oct 11 
 Qumulo , Software Development Engineer: Entry-Level - 2024 ," Seattle, WA ", 🔒 , Oct 11 
 Forward , Software Engineer – Entry Level - Full Stack , SF , 🔒 , Oct 10 
 NimbleRx , Data Analyst ," San Carlos, CA ", 🔒 , Oct 10 
 NVIDIA , Silicon Solution Engineer – New College Grad 2024 ," Santa Clara, CA ", 🔒 , Oct 10 
 Sprout Social , Associate Software Engineer – New Grad , Remote in USA , 🔒 , Oct 10 
 NVIDIA , Infrastructure Engineer – New College Grad 2024 ," Toronto, ON, Canada ", 🔒 , Oct 10 
 Grammarly , Software Engineer – New Grad , Remote in USA</br>United States , 🔒 , Oct 10 
 Chartboost , Software Engineer - Bidder , Remote in USA , 🔒 , Oct 04 
 NVIDIA , Compiler Engineer – New College Grad - LLVM ," Austin, TX</br>Redmond, WA</br>Santa Clara, CA ", 🔒 , Oct 04 
RVO Health, 2024 Early Career Program: Business Analysis Associate ," Charlotte, NC "," <a href=""https://boards.greenhouse.io/rvohealth/jobs/4324509005?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/bb5e31be-4ccc-499d-b4d8-365c74648866?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Oct 03 
 Visa , Software Engineer - New College Grad-2024 ," San Mateo, CA ", 🔒 , Oct 03 
 Visa , Software Engineer - New College Grad-2024 ," Austin, TX ", 🔒 , Oct 03 
 Visa , Software Engineer - New College Grad-2024 ," Atlanta, GA ", 🔒 , Oct 03 
 Applied Intuition , Embedded Software Engineer – New Grad ," Mountain View, CA ", 🔒 , Oct 02 
 CDC Foundation , Data Analyst , Arizona , 🔒 , Oct 02 
 Chartboost , Data Engineer , SF , 🔒 , Sep 30 
 Businessolver , Java Engineer I - Work Remotely within the United States , Remote in USA , 🔒 , Sep 29 
 Palantir , Software Engineer – New Grad ," Denver, CO ", 🔒 , Sep 29 
 SoFi , New Grad – Software Engineer - Borrow ," Helena, MT ", 🔒 , Sep 29 
 Optiver , Campus: Software Engineer - 2024 Start - Austin ," Austin, TX ", 🔒 , Sep 29 
 84.51 Degrees , Software Engineer - Development Program 2024 ," Chicago, IL</br>Cincinnati, OH ", 🔒 , Sep 29 
 Duolingo , Product Designer – New Grad ," Pittsburgh, PA ", 🔒 , Sep 29 
 ServiceNow , Utg – New Grad - Software Quality Engineer ," San Diego, CA ", 🔒 , Sep 29 
 Figma , Business Data Scientist – Early Career - 2024 , SF</br>NYC , 🔒 , Sep 28 
 Zoom , Video Codec Engineer – New Grad ," Oakland, CA ", 🔒 , Sep 28 
 Pomelo , Software Engineer – New Graduates , SF , 🔒 , Sep 27 
 Boston Dynamics AI Institute , Robot Application Engineer ," Cambridge, MA ", 🔒 , Sep 26 
 Cantina , Media Software Engineer - Real-Time ," Sunnyvale, CA ", 🔒 , Sep 26 
 FreedomPay , Software Engineer Associate - Device Team ," Philadelphia, PA ", 🔒 , Sep 26 
 Pinterest , University Grad Software Engineer - USA , Remote in USA , 🔒 , Sep 26 
 Pinterest , University Grad Software Engineer - Palo Alto ," Palo Alto, CA ", 🔒 , Sep 26 
 Pinterest , Mobile Engineer University Grad - USA , Remote in USA , 🔒 , Sep 26 
 HBK Capital Management , Systems Developer ," Dallas, TX ", 🔒 , Sep 26 
 XTX Markets , Operations Analyst - New York , NYC , 🔒 , Sep 25 
 Uncountable , Product Manager (New Grad) , SF</br>NYC , 🔒 , Sep 25 
 Conduit , Software Engineer – New Grad , SF , 🔒 , Sep 24 
HPR (Hyannis Port Research), Software Engineer I ," Needham, MA "," <a href=""https://boards.greenhouse.io/hyannisportresearch/jobs/5597621003?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/96c767c5-c497-4669-9bc9-2df91901eccd?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 24 
 Abnormal Security , Machine Learning Engineer , Remote in USA , 🔒 , Sep 23 
 NVIDIA , Developer Technology Engineer – New College Grad - Public Sector ," Santa Clara, CA ", 🔒 , Sep 22 
 NVIDIA , Deep Learning Algorithm Engineer – New College Grad ," Santa Clara, CA ", 🔒 , Sep 22 
 Abnormal Security , Software Engineer II - Machine Learning , Remote , 🔒 , Sep 22 
 Pear VC , Founding Software Engineer , NYC , 🔒 , Sep 21 
 OptionMetrics , IT Operations Engineering Manager , NYC , 🔒 , Sep 21 
 Salesforce , Software Engineering AMTS – New Grad ," Seattle, WA</br>SF</br>Remote in USA ", 🔒 , Sep 20 
 Scale AI , Operations Program Manager - Customer Operations ," Seattle, WA</br>SF</br>NYC ", 🔒 , Sep 20 
 Scale AI , Operations Associate ," <details><summary>**4 locations**</summary>SF</br>Dallas, TX</br>St. Louis, MO</br>NYC</details> ", 🔒 , Sep 20 
 Codazen , Full-Stack Engineer Winter New Grad ," Irvine, CA ", 🔒 , Sep 20 
 Oscar Health , Data Scientist I - Risk Analytics , Remote , 🔒 , Sep 20 
 Oscar Health , Data Scientist I - Risk Analytics , LA , 🔒 , Sep 20 
 Oscar Health , Data Scientist I - Risk Analytics , NYC , 🔒 , Sep 20 
Trumid, Fixed Income Operations Analyst , NYC ," <a href=""https://boards.greenhouse.io/trumid/jobs/4976920003?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/23bc99ee-fcd6-4118-8f64-7f7e9eac4d70?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 19 
 NVIDIA , Firmware Engineer – New College Grad 2023 ," Santa Clara, CA ", 🔒 , Sep 19 
 TuSimple , Map Engine Engineer ," San Diego, CA ", 🔒 , Sep 18 
 TuSimple , Localization Engineer ," San Diego, CA ", 🔒 , Sep 18 
 Chan Zuckerberg Biohub  , Application Engineer - Advanced Optical Microscopy , SF , 🔒 , Sep 18 
 ZipRecruiter , Software Engineer – New Grad ," Santa Monica, CA ", 🔒 , Sep 18 
 Hitachi Vantara , Technical Customer Success Engineer ," Orlando, FL ", 🔒 , Sep 18 
 EliseAI , Software Engineer – 2024 Campus Grads - 2023 , NYC , 🔒 , Sep 17 
 Elise AI , Operations – 2024 Campus Grads - 2023 , NYC , 🔒 , Sep 17 
 Chartboost , Software Engineer - Bidder , Remote in USA , 🔒 , Sep 15 
 Relativity Space , Simulation Engineer I ," Long Beach, CA ", 🔒 , Sep 15 
 Capital One , FT Associate – New Grad 2024 - Data Analyst ," Toronto, ON, Canada ", 🔒 , Sep 15 
 Capital One , Associate – FT New Grad 2024 - Software Engineer ," Toronto, ON, Canada ", 🔒 , Sep 15 
Edward Daniels Group, Cloud Engineer - Public Clouds ," Dallas, TX "," <a href=""https://jobs.lever.co/edgrp/befb6be7-c278-49a6-951e-bd7327085af7/apply?utm_source=Simplify&ref=Simplify""><img src=""https://i.imgur.com/w6lyvuC.png"" width=""84"" alt=""Apply""></a> <a href=""https://simplify.jobs/p/5df28b97-6a36-4d28-ad86-5e0b91807ac2?utm_source=GHList""><img src=""https://i.imgur.com/aVnQdox.png"" width=""30"" alt=""Simplify""></a> ", Sep 15 
 Regrello , Software Engineer - AI , Remote in USA , 🔒 , Sep 13 
 Vanta , Software Engineer – New Grad , SF , 🔒 , Sep 13 
 Riot Games , Analyst – Competitive and Social & Player Dynamics - Valorant , LA , 🔒 , Sep 13 
